iter,time,Atmosphere0,Atmosphere1,Atmosphere2,Oceans0,Oceans1,Oceans2,OCrust0,OCrust1,OCrust2,UMantle0,UMantle1,UMantle2,LMantle0,LMantle1,LMantle2,CCrust0,CCrust1,CCrust2,AbioticFixation0,AbioticFixation1,FreundlichAdsorption0,HydrothermalCirculation0,HydrothermalCirculation1,Subduction0,Volcanism0,Volcanism1,Volcanism2,Convection0,Erosion0,Erosion1,Henry0,Henry1
30000,150,2.6013472e+18,0,0,1.1655676e+16,8.7357539e+16,1.4112799e+19,0,0,1.1256542e+19,0,0,1.5079729e+18,0,0,3.659263e+18,0,0,6.630626e+17,2.6015408e+10,10406137,1.2565668e+11,2.6181324e+10,3493241.6,1.0693653e+11,2.1111722e+10,8.4446887e+10,2.5615638e+10,2.8300264e+09,5.8105302e+09,0.083997867,-18442790,1
32000,160,2.5538263e+18,0,0,1.1442747e+16,8.5745799e+16,1.4265688e+19,0,0,1.1378505e+19,0,0,1.4946405e+18,0,0,3.4485313e+18,0,0,6.6162064e+17,2.5540153e+10,10216036,1.2512837e+11,2.5696558e+10,3429196.5,1.0809526e+11,2.0925052e+10,8.3700209e+10,2.41404e+10,4.6909068e+09,5.7978909e+09,0.088264533,-17218444,1
34000,170,2.5091897e+18,0,0,1.1242743e+16,8.4229791e+16,1.4398183e+19,0,0,1.1484199e+19,0,0,1.4834373e+18,0,0,3.2686758e+18,0,0,6.6084311e+17,2.5093744e+10,10037473,1.2467374e+11,2.5240544e+10,3369032.7,1.0909942e+11,2.0768194e+10,8.3072777e+10,2.2881311e+10,6.2837163e+09,5.7910746e+09,0.0925312,-15985968,1
36000,180,2.4674239e+18,0,0,1.1055601e+16,8.2809617e+16,1.4513039e+19,0,0,1.1575822e+19,0,0,1.4740356e+18,0,0,3.1152124e+18,0,0,6.6060183e+17,2.4676045e+10,9870393.2,1.2428244e+11,2.4813307e+10,3312731.1,1.0996991e+11,2.0636559e+10,8.2546237e+10,2.1806983e+10,7.6468892e+09,5.7889582e+09,0.096797867,-14765243,1
38000,190,2.4284764e+18,0,0,1.0881087e+16,8.1483958e+16,1.4612635e+19,0,0,1.1655273e+19,0,0,1.4661572e+18,0,0,2.9843042e+18,0,0,6.6078917e+17,2.428653e+10,9714587.9,1.2394562e+11,2.4414445e+10,3260220.5,1.1072474e+11,2.0526252e+10,8.2105007e+10,2.0890552e+10,8.8133763e+09,5.7905983e+09,0.10106453,-13571374,1
40000,200,2.3922657e+18,0,0,1.0718836e+16,8.0250421e+16,1.4699027e+19,0,0,1.1724189e+19,0,0,1.459566e+18,0,0,2.8726682e+18,0,0,6.6131497e+17,2.3924386e+10,9569730.6,1.2365564e+11,2.4043237e+10,3211391,1.1137949e+11,2.0433965e+10,8.1735862e+10,2.0109038e+10,9.8114186e+09,5.7952046e+09,0.1053312,-12415589,1
42000,210,2.3586892e+18,0,0,1.0568387e+16,7.9105822e+16,1.4773988e+19,0,0,1.1783987e+19,0,0,1.4540613e+18,0,0,2.7774958e+18,0,0,6.6210392e+17,2.3588586e+10,9435411,1.2340596e+11,2.3698723e+10,3166103.9,1.1194762e+11,2.0356893e+10,8.1427571e+10,1.9442778e+10,1.0665216e+10,5.8021173e+09,0.10959787,-11305969,1
44000,220,2.3276295e+18,0,0,1.0429216e+16,7.8046415e+16,1.4839053e+19,0,0,1.1835891e+19,0,0,1.449473e+18,0,0,2.6963848e+18,0,0,6.6309333e+17,2.3277957e+10,9311159.4,1.2319095e+11,2.3379775e+10,3124201.1,1.1244073e+11,2.0292651e+10,8.1170605e+10,1.8874955e+10,1.1395506e+10,5.8107869e+09,0.11386453,-10248063,1
46000,230,2.2989595e+18,0,0,1.0300752e+16,7.7068075e+16,1.4895546e+19,0,0,1.1880957e+19,0,0,1.4456569e+18,0,0,2.6272807e+18,0,0,6.6423121e+17,2.2991227e+10,9196467.7,1.2300577e+11,2.3085153e+10,3085511.4,1.1286889e+11,2.0239221e+10,8.0956883e+10,1.8391188e+10,1.2020053e+10,5.8207577e+09,0.1181312,-9245383,1
48000,240,2.2725466e+18,0,0,1.0182402e+16,7.6166446e+16,1.4944614e+19,0,0,1.1920099e+19,0,0,1.4424906e+18,0,0,2.5684267e+18,0,0,6.6547464e+17,2.272707e+10,9090805.4,1.2284625e+11,2.2813548e+10,3049856.2,1.1324077e+11,2.0194888e+10,8.0779553e+10,1.7979177e+10,1.2554076e+10,5.8316538e+09,0.12239787,-8299830.5,1
50000,250,2.248256e+18,0,0,1.0073561e+16,7.5337058e+16,1.4987246e+19,0,0,1.1954108e+19,0,0,1.4398705e+18,0,0,2.518321e+18,0,0,6.6678838e+17,2.2484137e+10,8993632.5,1.2270882e+11,2.2563616e+10,3017053.6,1.1356387e+11,2.0158203e+10,8.0632812e+10,1.7628409e+10,1.3010615e+10,5.843166e+09,0.12666453,-7412034.1,1
52000,260,2.2259526e+18,0,0,9.9736249e+15,7.4575419e+16,1.50243e+19,0,0,1.1983666e+19,0,0,1.4377088e+18,0,0,2.4756797e+18,0,0,6.6814364e+17,2.226108e+10,8904409.7,1.225904e+11,2.2334007e+10,2986922.3,1.138447e+11,2.0127937e+10,8.0511749e+10,1.7329895e+10,1.3400837e+10,5.8550423e+09,0.1309312,-6581635.5,1
54000,270,2.2055038e+18,0,0,9.8819984e+15,7.3877083e+16,1.5056516e+19,0,0,1.2009366e+19,0,0,1.4359315e+18,0,0,2.4394056e+18,0,0,6.6951712e+17,2.205657e+10,8822605.9,1.2248835e+11,2.2123386e+10,2959283.7,1.1408887e+11,2.0103052e+10,8.0412209e+10,1.7075956e+10,1.3734307e+10,5.8670782e+09,0.13519787,-5807521.6,1
56000,280,2.1867805e+18,0,0,9.7981028e+15,7.3237705e+16,1.5084537e+19,0,0,1.2031719e+19,0,0,1.4344758e+18,0,0,2.4085611e+18,0,0,6.7089007e+17,2.1869316e+10,8747704.4,1.2240039e+11,2.1930448e+10,2933963.7,1.1430123e+11,2.008267e+10,8.0330682e+10,1.6860027e+10,1.4019216e+10,5.8791096e+09,0.13946453,-5088014.9,1
58000,290,2.1696579e+18,0,0,9.7213801e+15,7.2653085e+16,1.5108918e+19,0,0,1.2051168e+19,0,0,1.4332888e+18,0,0,2.3823453e+18,0,0,6.7224762e+17,2.1698071e+10,8679206.6,1.2232455e+11,2.1753932e+10,2910794.9,1.1448601e+11,2.0066051e+10,8.0264203e+10,1.6676502e+10,1.4262579e+10,5.8910062e+09,0.1437312,-4421027.8,1
60000,300,2.1540168e+18,0,0,9.6512959e+15,7.211919e+16,1.5130138e+19,0,0,1.2068096e+19,0,0,1.4323258e+18,0,0,2.3600743e+18,0,0,6.7357812e+17,2.1541643e+10,8616635.8,1.2225917e+11,2.1592627e+10,2889616.8,1.1464684e+11,2.0052568e+10,8.0210271e+10,1.6520592e+10,1.4470404e+10,5.9026656e+09,0.14799787,-3804187.4,1
62000,310,2.139744e+18,0,0,9.5873423e+15,7.1632178e+16,1.5148615e+19,0,0,1.2082836e+19,0,0,1.4315493e+18,0,0,2.3411637e+18,0,0,6.7487258e+17,2.1398899e+10,8559538.3,1.2220278e+11,2.144538e+10,2870277,1.1478687e+11,2.0041695e+10,8.0166781e+10,1.6388207e+10,1.4647832e+10,5.9140094e+09,0.15226453,-3234936.1,1
64000,320,2.1267322e+18,0,0,9.5290391e+15,7.1188408e+16,1.5164709e+19,0,0,1.2095674e+19,0,0,1.4309275e+18,0,0,2.3251149e+18,0,0,6.7612428e+17,2.1268767e+10,8507485.4,1.2215414e+11,2.1311099e+10,2852631.3,1.1490885e+11,2.003299e+10,8.0131958e+10,1.6275856e+10,1.4799266e+10,5.9249784e+09,0.1565312,-2710611.3,1
66000,330,2.1148806e+18,0,0,9.4759341e+15,7.0784449e+16,1.5178733e+19,0,0,1.2106861e+19,0,0,1.4304339e+18,0,0,2.3115023e+18,0,0,6.7732831e+17,2.1150237e+10,8460073.6,1.2211219e+11,2.1188752e+10,2836544.1,1.1501513e+11,2.0026078e+10,8.0104313e+10,1.618056e+10,1.4928475e+10,5.9355298e+09,0.16079787,-2228508.4,1
68000,340,2.1040945e+18,0,0,9.4276039e+15,7.0417079e+16,1.5190958e+19,0,0,1.2116613e+19,0,0,1.4300461e+18,0,0,2.2999626e+18,0,0,6.7848132e+17,2.1042364e+10,8416924.5,1.2207599e+11,2.1077374e+10,2821888.3,1.1510778e+11,2.0020648e+10,8.0082592e+10,1.6099776e+10,1.5038684e+10,5.945634e+09,0.16506453,-1785930,1
70000,350,2.0942857e+18,0,0,9.3836527e+15,7.0083286e+16,1.5201618e+19,0,0,1.2125117e+19,0,0,1.4297454e+18,0,0,2.2901861e+18,0,0,6.7958117e+17,2.0944265e+10,8377685.1,1.2204474e+11,2.0976062e+10,2808545.1,1.1518857e+11,2.0016437e+10,8.0065749e+10,1.6031334e+10,1.5132654e+10,5.9552724e+09,0.1693312,-1380223.7,1
